index,example,question_context,choices,path
0,1,drawstring,military,drawstring --PartOf--> drawstring bag --AtLocation--> military
1,1,drawstring,jewelry,[]
2,1,drawstring,jewelry store,drawstring --PartOf--> drawstring bag --AtLocation--> jewelry store
3,1,drawstring,safe,drawstring --PartOf--> drawstring bag --AtLocation--> safe
4,1,drawstring,store,drawstring --PartOf--> drawstring bag --AtLocation--> store
5,1,drawstring,garbage,[]
6,1,drawstring,airport,drawstring --PartOf--> drawstring bag --AtLocation--> airport
7,1,heading,military,heading <--HasContext-- siege --HasContext--> military
8,1,heading,jewelry,heading <--HasContext-- metal --RelatedTo--> jewelry
9,1,heading,jewelry store,[]
10,1,heading,safe,heading <--HasContext-- home --RelatedTo--> safe
11,1,heading,store,heading <--HasContext-- keep --MannerOf--> store
12,1,heading,garbage,heading <--HasContext-- sink --RelatedTo--> garbage
13,1,heading,airport,[]
14,1,a drawstring bag,military,[]
15,1,a drawstring bag,jewelry,[]
16,1,a drawstring bag,jewelry store,[]
17,1,a drawstring bag,safe,[]
18,1,a drawstring bag,store,[]
19,1,a drawstring bag,garbage,[]
20,1,a drawstring bag,airport,[]
21,1,baggage,military,baggage --HasContext--> military
22,1,baggage,jewelry,baggage --IsA--> case --RelatedTo--> jewelry
23,1,baggage,jewelry store,[]
24,1,baggage,safe,[]
25,1,baggage,store,baggage <--IsA-- purse --AtLocation--> store
26,1,baggage,garbage,baggage <--RelatedTo-- curb service --RelatedTo--> garbage
27,1,baggage,airport,baggage --AtLocation--> airport
28,1,wa,military,wa --HasContext--> u --HasA--> military
29,1,wa,jewelry,[]
30,1,wa,jewelry store,[]
31,1,wa,safe,wa --RelatedTo--> being <--RelatedTo-- safe
32,1,wa,store,[]
33,1,wa,garbage,wa --HasContext--> u <--HasContext-- garbage
34,1,wa,airport,[]
35,1,checked,military,checked --HasContext--> north america <--HasContext-- military
36,1,checked,jewelry,[]
37,1,checked,jewelry store,[]
38,1,checked,safe,[]
39,1,checked,store,[]
40,1,checked,garbage,[]
41,1,checked,airport,[]
42,1,the woman,military,[]
43,1,the woman,jewelry,[]
44,1,the woman,jewelry store,[]
45,1,the woman,safe,[]
46,1,the woman,store,[]
47,1,the woman,garbage,[]
48,1,the woman,airport,[]
49,1,woman,military,woman <--DerivedFrom-- infantrywoman --HasContext--> military
50,1,woman,jewelry,woman <--RelatedTo-- necklace --IsA--> jewelry
51,1,woman,jewelry store,[]
52,1,woman,safe,woman <--RelatedTo-- shelter <--RelatedTo-- safe
53,1,woman,store,woman <--RelatedTo-- purse --AtLocation--> store
54,1,woman,garbage,woman --RelatedTo--> person --NotDesires--> garbage
55,1,woman,airport,woman <--RelatedTo-- bar --AtLocation--> airport
56,1,the only baggage,military,[]
57,1,the only baggage,jewelry,[]
58,1,the only baggage,jewelry store,[]
59,1,the only baggage,safe,[]
60,1,the only baggage,store,[]
61,1,the only baggage,garbage,[]
62,1,the only baggage,airport,[]
63,1,bag,military,bag --RelatedTo--> game --HasContext--> military
64,1,bag,jewelry,bag <--RelatedTo-- case --RelatedTo--> jewelry
65,1,bag,jewelry store,bag <--IsA-- drawstring bag --AtLocation--> jewelry store
66,1,bag,safe,bag <--IsA-- drawstring bag --AtLocation--> safe
67,1,bag,store,bag --RelatedTo--> store
68,1,bag,garbage,bag --AtLocation--> trash --SimilarTo--> garbage
69,1,bag,airport,bag <--RelatedTo-- case --RelatedTo--> airport
70,2,cancelled,the flu,[]
71,2,cancelled,wa,[]
72,2,cancelled,certain,[]
73,2,cancelled,worried,[]
74,2,cancelled,catch,[]
75,2,cancelled,flu,[]
76,2,the party,the flu,[]
77,2,the party,wa,[]
78,2,the party,certain,[]
79,2,the party,worried,[]
80,2,the party,catch,[]
81,2,the party,flu,[]
82,2,wa,the flu,[]
83,2,wa,wa,wa
84,2,wa,certain,wa --RelatedTo--> being <--RelatedTo-- certain
85,2,wa,worried,[]
86,2,wa,catch,[]
87,2,wa,flu,[]
88,2,party,the flu,[]
89,2,party,wa,party <--RelatedTo-- christmas --RelatedTo--> wa
90,2,party,certain,party --RelatedTo--> very <--RelatedTo-- certain
91,2,party,worried,party --IsA--> person --NotDesires--> worried
92,2,party,catch,party --RelatedTo--> game <--IsA-- catch
93,2,party,flu,party --IsA--> person --NotDesires--> flu
94,2,the cause,the flu,[]
95,2,the cause,wa,[]
96,2,the cause,certain,[]
97,2,the cause,worried,[]
98,2,the cause,catch,[]
99,2,the cause,flu,[]
100,2,cause,the flu,[]
101,2,cause,wa,cause --RelatedTo--> side --RelatedTo--> wa
102,2,cause,certain,cause --RelatedTo--> happen <--RelatedTo-- certain
103,2,cause,worried,[]
104,2,cause,catch,cause <--Synonym-- get --MannerOf--> catch
105,2,cause,flu,cause <--RelatedTo-- disease --RelatedTo--> flu
106,2,host,the flu,[]
107,2,host,wa,[]
108,2,host,certain,[]
109,2,host,worried,[]
110,2,host,catch,host --HasContext--> computing <--HasContext-- catch
111,2,host,flu,host <--AtLocation-- disease --RelatedTo--> flu
112,2,the host,the flu,[]
113,2,the host,wa,[]
114,2,the host,certain,[]
115,2,the host,worried,[]
116,2,the host,catch,[]
117,2,the host,flu,[]
118,3,incriminating,enemy,[]
119,3,incriminating,blackmailed,[]
120,3,incriminating,man,[]
121,3,incriminating,the man,[]
122,3,incriminating,his enemy,[]
123,3,incriminating,avoided,[]
124,3,enemy,enemy,enemy
125,3,enemy,blackmailed,[]
126,3,enemy,man,enemy --RelatedTo--> guy --IsA--> man
127,3,enemy,the man,[]
128,3,enemy,his enemy,[]
129,3,enemy,avoided,enemy --RelatedTo--> person --NotDesires--> avoided
130,3,man,enemy,man --RelatedTo--> guy <--RelatedTo-- enemy
131,3,man,blackmailed,[]
132,3,man,man,man
133,3,man,the man,[]
134,3,man,his enemy,[]
135,3,man,avoided,man --RelatedTo--> person --NotDesires--> avoided
136,3,the man,enemy,[]
137,3,the man,blackmailed,[]
138,3,the man,man,[]
139,3,the man,the man,[]
140,3,the man,his enemy,[]
141,3,the man,avoided,[]
142,3,uncovered,enemy,[]
143,3,uncovered,blackmailed,[]
144,3,uncovered,man,[]
145,3,uncovered,the man,[]
146,3,uncovered,his enemy,[]
147,3,uncovered,avoided,[]
148,3,evidence,enemy,evidence <--Desires-- person <--RelatedTo-- enemy
149,3,evidence,blackmailed,[]
150,3,evidence,man,evidence <--RelatedTo-- manufacture --RelatedTo--> man
151,3,evidence,the man,[]
152,3,evidence,his enemy,[]
153,3,evidence,avoided,evidence <--Desires-- person --NotDesires--> avoided
154,3,result,enemy,result <--RelatedTo-- issue --RelatedTo--> enemy
155,3,result,blackmailed,[]
156,3,result,man,result <--RelatedTo-- work <--MannerOf-- man
157,3,result,the man,[]
158,3,result,his enemy,[]
159,3,result,avoided,result <--Desires-- person --NotDesires--> avoided
160,3,happened,enemy,[]
161,3,happened,blackmailed,[]
162,3,happened,man,happened <--RelatedTo-- history --RelatedTo--> man
163,3,happened,the man,[]
164,3,happened,his enemy,[]
165,3,happened,avoided,[]
166,3,a result,enemy,[]
167,3,a result,blackmailed,[]
168,3,a result,man,[]
169,3,a result,the man,[]
170,3,a result,his enemy,[]
171,3,a result,avoided,[]
172,3,his enemy,enemy,[]
173,3,his enemy,blackmailed,[]
174,3,his enemy,man,[]
175,3,his enemy,the man,[]
176,3,his enemy,his enemy,[]
177,3,his enemy,avoided,[]
178,4,parent,a party,[]
179,4,parent,clean,parent <--RelatedTo-- organization --RelatedTo--> clean
180,4,parent,mess,parent --IsA--> animal <--RelatedTo-- mess
181,4,parent,having,parent <--RelatedTo-- adopt --RelatedTo--> having
182,4,parent,trouble,parent --RelatedTo--> act <--RelatedTo-- trouble
183,4,parent,the mess,[]
184,4,parent,party,parent --AtLocation--> party
185,4,parent,punish,[]
186,4,parent,alex,parent <--CreatedBy-- baby <--IsA-- alex
187,4,a party,a party,[]
188,4,a party,clean,[]
189,4,a party,mess,[]
190,4,a party,having,[]
191,4,a party,trouble,[]
192,4,a party,the mess,[]
193,4,a party,party,[]
194,4,a party,punish,[]
195,4,a party,alex,[]
196,4,his house,a party,[]
197,4,his house,clean,[]
198,4,his house,mess,[]
199,4,his house,having,[]
200,4,his house,trouble,[]
201,4,his house,the mess,[]
202,4,his house,party,[]
203,4,his house,punish,[]
204,4,his house,alex,[]
205,4,happen,a party,[]
206,4,happen,clean,happen <--RelatedTo-- do <--HasPrerequisite-- clean
207,4,happen,mess,[]
208,4,happen,having,happen <--RelatedTo-- regret --DistinctFrom--> having
209,4,happen,trouble,happen --RelatedTo--> circumstance <--RelatedTo-- trouble
210,4,happen,the mess,[]
211,4,happen,party,happen <--RelatedTo-- offer <--RelatedTo-- party
212,4,happen,punish,happen <--RelatedTo-- cause <--RelatedTo-- punish
213,4,happen,alex,[]
214,4,town,a party,[]
215,4,town,clean,town <--AtLocation-- river --RelatedTo--> clean
216,4,town,mess,town <--AtLocation-- church <--RelatedTo-- mess
217,4,town,having,town --RelatedTo--> farm --RelatedTo--> having
218,4,town,trouble,town <--RelatedTo-- hell --IsA--> trouble
219,4,town,the mess,[]
220,4,town,party,town <--RelatedTo-- bar --RelatedTo--> party
221,4,town,punish,town <--RelatedTo-- provost --RelatedTo--> punish
222,4,town,alex,[]
223,4,his parents,a party,[]
224,4,his parents,clean,[]
225,4,his parents,mess,[]
226,4,his parents,having,[]
227,4,his parents,trouble,[]
228,4,his parents,the mess,[]
229,4,his parents,party,[]
230,4,his parents,punish,[]
231,4,his parents,alex,[]
232,4,told,a party,[]
233,4,told,clean,[]
234,4,told,mess,[]
235,4,told,having,[]
236,4,told,trouble,[]
237,4,told,the mess,[]
238,4,told,party,[]
239,4,told,punish,[]
240,4,told,alex,[]
241,4,party,a party,[]
